ime_tekmovalca,starost
Cadel Evans,35
Marcus Burghardt,29
Steve Cummings,31
Philippe Gilbert,29
George Hincapie,39
Amaël Moinard,30
Manuel Quinziato,32
Michael Schär,25
Tejay van Garderen,23
Fränk Schleck,28
Fabian Cancellara,31
Tony Gallopin,24
Chris Horner,40
Andreas Klöden,37
Maxime Monfort,29
Yaroslav Popovych,32
Jens Voigt,40
Haimar Zubeldia,35
Thomas Voeckler,33
Yukiya Arashiro,27
Giovanni Bernaudeau,28
Cyril Gautier,24
Yohann Gène,31
Vincent Jérôme,27
Christophe Kern,31
Davide Malacarne,24
Pierre Rolland,25
Samuel Sánchez,34
Mikel Astarloza,32
Jorge Azanza,30
Gorka Izagirre,24
Egoi Martínez,34
Rubén Pérez,93
Amets Txurruka,29
Pablo Urtasun,29
Gorka Verdugo,33
Michele Scarponi,33
Grega Bole,26
Danilo Hondo,38
Yuriy Krivtsov,33
Matthew Lloyd,29
Marco Marzano,32
Alessandro Petacchi,38
Simone Stortoni,26
Davide Viganò,28
Vincenzo Nibali,27
Ivan Basso,34
Federico Canuti,26
Kristijan Koren,25
Dominik Nerz,22
Daniel Oss,25
Peter Sagan,22
Sylwester Szmyd,34
Alessandro Vanotti,31
Ryder Hesjedal,31
Tom Danielson,34
Tyler Farrar,28
Robert Hunter,35
Dan Martin,25
David Millar,35
Johan Vansummeren,31
Christian Vande Velde,36
David Zabriskie,33
Jean-Christophe Péraud,35
Maxime Bouet,25
Mickaël Cherel,26
Hubert Dupont,31
Sébastien Hinault,38
Blel Kadri,25
Sébastien Minard,30
Christophe Riblon,31
Nicolas Roche,27
Rein Taaramäe,25
Rémy Di Gregorio,26
Samuel Dumoulin,31
Nicolas Edet,24
Julien Fouchard,25
Jan Ghyselinck,24
Luis Ángel Maté,28
David Moncoutié,37
Romain Zingle,25
Jérôme Coppel,25
Anthony Delaplace,22
Jimmy Engoulvent,32
Brice Feillu,26
Fabrice Jeandesboz,27
Cyril Lemoine,29
Guillaume Levarlet,26
Jean-Marc Marino,28
Julien Simon,26
Bradley Wiggins,28
Edvald Boasson Hagen,25
Mark Cavendish,27
Bernhard Eisel,31
Chris Froome,27
Christian Knees,31
Richie Porte,27
Michael Rogers,32
Kanstantsin Sivtsov,29
Jurgen Van den Broeck,29
Lars Bak,31
Francis De Greef,27
André Greipel,29
Adam Hansen,31
Greg Henderson,35
Jürgen Roelandts,26
Marcel Sieberg,30
Jelle Vanendert,27
Lieuwe Westra,29
Kris Boeckmans,25
Johnny Hoogerland,29
Gustav Larsson,31
Marco Marcato,28
Wout Poels,24
Rob Ruijgh,25
Rafael Valls,25
Kenny van Hummel,29
Denis Menchov,34
Giampaolo Caruso,31
Óscar Freire,36
Vladimir Gusev,29
Joan Horrach,38
Aleksandr Kuschynski,32
Luca Paolini,35
Yuri Trofimov,28
Eduard Vorganov,29
Sandy Casar,33
Pierrick Fédrigo,33
Yauheni Hutarovich,28
Mathieu Ladagnous,27
Cédric Pineau,27
Thibaut Pinot,22
Anthony Roux,25
Jérémy Roy,29
Arthur Vichot,23
Robert Gesink,26
Steven Kruijswijk,25
Bauke Mollema,25
Mark Renshaw,29
Luis León Sánchez,28
Bram Tankink,33
Laurens ten Dam,31
Maarten Tjallingii,34
Maarten Wynants,30
Alejandro Valverde,32
Juan José Cobo,30
Rui Costa,25
Imanol Erviti,28
Iván Gutiérrez,33
Vladimir Karpets,31
Vasil Kiryienka,31
Rubén Plaza,32
José Joaquín Rojas,27
Jonathan Cantwell,30
Juan José Haedo,31
Karsten Kroon,36
Anders Lund,27
Michael Mørkøv,27
Nick Nuyens,32
Sérgio Paulinho,32
Chris Anker Sørensen,27
Nicki Sørensen,37
Janez Brajkovič,28
Borut Božič,31
Dmitriy Fofonov,35
Andriy Hryvko,28
Maxim Iglinsky,31
Andrey Kashechkin,32
Fredrik Kessiakoff,32
Robert Kišerlovski,25
Alexander Vinokourov,38
Levi Leipheimer,38
Sylvain Chavanel,33
Kevin De Weert,30
Dries Devenyns,28
Bert Grabsch,37
Tony Martin,27
Jérôme Pineau,32
Martin Velits,27
Peter Velits,27
Simon Gerrans,32
Michael Albasini,31
Baden Cooke,33
Matthew Goss,25
Daryl Impey,27
Brett Lancaster,32
Sebastian Langeveld,27
Stuart O'Grady,38
Pieter Weening,31
Marcel Kittel,24
Roy Curvers,32
Koen de Kort,29
Johannes Fröhlinger,27
Patrick Gretsch,25
Yann Huguet,28
Matthieu Sprick,30
Albert Timmer,27
Tom Veelers,27
