leto,mesto,ime_tekmovalca,država,ekipa,točke

2012,1,Thomas Voeckler,Francija,Team Europcar,135

2012,2,Fredrik Kessiakoff,Švedska,Astana,123

2012,3,Chris Anker Sørensen,Danska,Saxo Bank–Tinkoff Bank,77

2012,4,Pierre Rolland,Francija,Team Europcar,63

2012,5,Alejandro Valverde,Španija,Movistar Team,51

2012,6,Chris Froome,Velika Britanija,Team Sky,48

2012,7,Egoi Martínez,Španija,Euskaltel–Euskadi,43

2012,8,Thibaut Pinot,Francija,FDJ–BigMat,40

2012,9,Brice Feillu,Francija,Saur–Sojasun,38

2012,10,Dan Martin,Irska,Garmin–Sharp,34

2013,1,Nairo Quintana,Kolumbija,Movistar Team,147

2013,2,Chris Froome,Velika Britanija,Team Sky,136

2013,3,Pierre Rolland,Francija,Team Europcar,119

2013,4,Joaquim Rodríguez,Španija,Team Katusha,99

2013,5,Christophe Riblon,Francija,Ag2r–La Mondiale,98

2013,6,Mikel Nieve,Španija,Euskaltel–Euskadi,98

2013,7,Moreno Moser,Italija,Cannondale,72

2013,8,Richie Porte,Avstralija,Team Sky,72

2013,9,Ryder Hesjedal,Kanada,Garmin–Sharp,64

2013,10,Tejay van Garderen,ZDA,BMC Racing Team,63

2014,1,Rafał Majka,Poljska,Tinkoff–Saxo,181

2014,2,Vincenzo Nibali,Italija,Astana,168

2014,3,Joaquim Rodríguez,Španija,Team Katusha,112

2014,4,Thibaut Pinot,Francija,FDJ.fr,89

2014,5,Jean-Christophe Péraud,Francija,Ag2r–La Mondiale,85

2014,6,Alessandro De Marchi,Italija,Cannondale,78

2014,7,Thomas Voeckler,Francija,Team Europcar,61

2014,8,Giovanni Visconti,Italija,Movistar Team,54

2014,9,Alejandro Valverde,Španija,Movistar Team,48

2014,10,Tejay van Garderen,ZDA,BMC Racing Team,48

2015,1,Chris Froome,Velika Britanija,Team Sky,119

2015,2,Nairo Quintana,Kolumbija,Movistar Team,108

2015,3,Romain Bardet,Francija,AG2R La Mondiale,90

2015,4,Thibaut Pinot,Francija,FDJ,82

2015,5,Joaquim Rodríguez,Španija,Team Katusha,78

2015,6,Pierre Rolland,Francija,Team Europcar,74

2015,7,Alejandro Valverde,Španija,Movistar Team,72

2015,8,Jakob Fuglsang,Danska,Astana,64

2015,9,Richie Porte,Avstralija,Team Sky,58

2015,10,Serge Pauwels,Belgija,MTN–Qhubeka,55

2016,1,Rafał Majka,Poljska,Tinkoff,209

2016,2,Thomas De Gendt,Belgija,Lotto–Soudal,130

2016,3,Jarlinson Pantano,Kolumbija,IAM Cycling,121

2016,4,Ilnur Zakarin,Rusija,Team Katusha,84

2016,5,Rui Costa,Portugalska,Lampre–Merida,76

2016,6,Serge Pauwels,Belgija,Team Dimension Data,62

2016,7,Stef Clement,Nizozemska,IAM Cycling,53

2016,8,Vincenzo Nibali,Italija,Astana,36

2016,9,Kristijan Đurasek,Hrvaška,Lampre–Merida,36

2016,10,Thomas Voeckler,Francija,Direct Énergie,33
